key,t1,t2,t4
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,4,true
lineworld,-0.999,4,true
lineworld,-0.99800104,4,true
lineworld,-0.9970031,4,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,8,true
lineworld,0.999,8,true
lineworld,0.99800104,8,true
lineworld,0.9970031,8,true
lineworld,0.9960061,8,true
lineworld,0.9950101,8,true
lineworld,0.9940151,8,true
lineworld,0.9930211,8,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,4,true
lineworld,-0.999,4,true
lineworld,-0.99800104,4,true
lineworld,-0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,6,true
lineworld,-0.999,6,true
lineworld,-0.99800104,6,true
lineworld,-0.9970031,6,true
lineworld,-0.9960061,6,true
lineworld,-0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,4,true
lineworld,-0.999,4,true
lineworld,-0.99800104,4,true
lineworld,-0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,8,true
lineworld,0.999,8,true
lineworld,0.99800104,8,true
lineworld,0.9970031,8,true
lineworld,0.9960061,8,true
lineworld,0.9950101,8,true
lineworld,0.9940151,8,true
lineworld,0.9930211,8,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,8,true
lineworld,0.999,8,true
lineworld,0.99800104,8,true
lineworld,0.9970031,8,true
lineworld,0.9960061,8,true
lineworld,0.9950101,8,true
lineworld,0.9940151,8,true
lineworld,0.9930211,8,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,8,true
lineworld,0.999,8,true
lineworld,0.99800104,8,true
lineworld,0.9970031,8,true
lineworld,0.9960061,8,true
lineworld,0.9950101,8,true
lineworld,0.9940151,8,true
lineworld,0.9930211,8,true
lineworld,1.0,8,true
lineworld,0.999,8,true
lineworld,0.99800104,8,true
lineworld,0.9970031,8,true
lineworld,0.9960061,8,true
lineworld,0.9950101,8,true
lineworld,0.9940151,8,true
lineworld,0.9930211,8,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,10,true
lineworld,0.999,10,true
lineworld,0.99800104,10,true
lineworld,0.9970031,10,true
lineworld,0.9960061,10,true
lineworld,0.9950101,10,true
lineworld,0.9940151,10,true
lineworld,0.9930211,10,true
lineworld,0.99202806,10,true
lineworld,0.99103606,10,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,8,true
lineworld,0.999,8,true
lineworld,0.99800104,8,true
lineworld,0.9970031,8,true
lineworld,0.9960061,8,true
lineworld,0.9950101,8,true
lineworld,0.9940151,8,true
lineworld,0.9930211,8,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,-1.0,6,true
lineworld,-0.999,6,true
lineworld,-0.99800104,6,true
lineworld,-0.9970031,6,true
lineworld,-0.9960061,6,true
lineworld,-0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,10,true
lineworld,0.999,10,true
lineworld,0.99800104,10,true
lineworld,0.9970031,10,true
lineworld,0.9960061,10,true
lineworld,0.9950101,10,true
lineworld,0.9940151,10,true
lineworld,0.9930211,10,true
lineworld,0.99202806,10,true
lineworld,0.99103606,10,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,-1.0,10,true
lineworld,-0.999,10,true
lineworld,-0.99800104,10,true
lineworld,-0.9970031,10,true
lineworld,-0.9960061,10,true
lineworld,-0.9950101,10,true
lineworld,-0.9940151,10,true
lineworld,-0.9930211,10,true
lineworld,-0.99202806,10,true
lineworld,-0.99103606,10,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,8,true
lineworld,0.999,8,true
lineworld,0.99800104,8,true
lineworld,0.9970031,8,true
lineworld,0.9960061,8,true
lineworld,0.9950101,8,true
lineworld,0.9940151,8,true
lineworld,0.9930211,8,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,8,true
lineworld,0.999,8,true
lineworld,0.99800104,8,true
lineworld,0.9970031,8,true
lineworld,0.9960061,8,true
lineworld,0.9950101,8,true
lineworld,0.9940151,8,true
lineworld,0.9930211,8,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,8,true
lineworld,0.999,8,true
lineworld,0.99800104,8,true
lineworld,0.9970031,8,true
lineworld,0.9960061,8,true
lineworld,0.9950101,8,true
lineworld,0.9940151,8,true
lineworld,0.9930211,8,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,6,true
lineworld,0.999,6,true
lineworld,0.99800104,6,true
lineworld,0.9970031,6,true
lineworld,0.9960061,6,true
lineworld,0.9950101,6,true
lineworld,1.0,4,true
lineworld,0.999,4,true
lineworld,0.99800104,4,true
lineworld,0.9970031,4,true
lineworld,-1.0,4,true
lineworld,-0.999,4,true
lineworld,-0.99800104,4,true
lineworld,-0.9970031,4,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,-1.0,2,true
lineworld,-0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
lineworld,1.0,2,true
lineworld,0.999,2,true
